dmf,therapeutic_class,country,year
MF 031781,,Belgium,2017
MF 015340,,United States,2001
MF 028012,,India,2014
MF 028280,,India,2014
MF 025543,,India,2011
MF 025728,,India,2011
MF 019260,,India,2006
MF 023728,,Spain,2010
MF 022636,,United States,2009
MF 034088,,China,2019
MF 036320,,India,2021
MF 021102,,China,2007
MF 027674,,United States,2013
MF 030139,,United States,2015
MF 029674,,India,2015
MF 034337,,China,2019
MF 029770,,China,2015
MF 021669,,China,2008
MF 031576,,India,2017
MF 027205,,India,2013
MF 021606,,Japan,2008
MF 024815,,India,2011
MF 024069,,India,2011
MF 024877,,India,2011
MF 019646,,Sweden,2006
MF 018915,,Belgium,2005
MF 028927,,India,2014
MF 031950,,India,2018
MF 036256,,China,2021
MF 029824,,India,2015
MF 035140,,China,2020
MF 034184,,Belgium,2019
MF 031285,,India,2016
MF 023016,,India,2009
MF 033246,,India,2018
MF 022841,,Italy,2009
MF 027720,,India,2013
MF 025573,,United States,2011
MF 027830,,India,2013
MF 030576,,India,2016
MF 022564,,India,2009
MF 025119,,India,2011
MF 036641,,India,2021
MF 019714,,India,2006
MF 024495,,India,2010
MF 026548,,United States,2012
MF 023854,,India,2010
MF 022437,,India,2009
MF 016390,,Spain,2003
MF 027513,,Switzerland,2013
MF 028837,,China,2014
MF 028096,,India,2014
MF 024134,,India,2010
MF 020273,,China,2007
MF 026024,,India,2012
MF 029053,,United States,2015
MF 018978,,India,2005
MF 023174,,India,2009
MF 025731,,Japan,2012
MF 034938,,Germany,2020
MF 016910,,Dominican Republic,2003
MF 023062,,United States,2009
MF 023599,,India,2010
MF 034631,,India,2020
MF 024216,,Mexico,2010
MF 035144,,China,2020
MF 028055,,China,2014
MF 018554,,China,2005
MF 036197,,China,2021
MF 021802,,United States,2008
MF 030954,,China,2016
MF 024090,,India,2010
MF 032786,,China,2018
MF 034925,,India,2020
MF 025511,,China,2011
MF 021301,,India,2008
MF 031864,,China,2017
MF 029298,,China,2015
MF 022087,,India,2008
MF 026041,,China,2012
MF 032638,,China,2018
MF 029882,,India,2015
MF 021373,,United States,2008
MF 029781,,United States,2016
MF 026424,,India,2012
MF 026716,,Spain,2012
MF 034332,,China,2019
MF 032004,,Switzerland,2017
MF 019618,,Denmark,2006
MF 025129,,China,2011
MF 020500,,Republic Of Korea,2007
MF 028073,,India,2014
MF 024899,,India,2011
MF 030853,,China,2016
MF 015623,,Italy,2001
MF 032922,,Italy,2018
MF 020767,,China,2007
MF 022955,,China,2009
MF 029640,,China,2015
MF 036089,,United States,2021
MF 035952,,United States,2021
MF 030230,,China,2016
MF 026326,,United States,2012
MF 019041,,United States,2005
MF 031189,,Taiwan,2016
MF 022829,,United States,2009
MF 030041,,China,2016
MF 034011,,China,2019
MF 021925,,India,2008
MF 023831,,China,2010
MF 022637,,United States,2009
MF 018107,,Ireland,2005
MF 033711,,India,2019
MF 034576,,India,2020
MF 034280,,India,2019
MF 027028,,India,2013
MF 019648,,India,2006
MF 021039,Cardiovascular Agents,India,2007
MF 022027,Cardiovascular Agents,India,2008
MF 033923,Cardiovascular Agents,India,2019
MF 022541,Cardiovascular Agents,China,2008
MF 018227,Dermatological Agents,Taiwan,2005
MF 027363,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2013
MF 035893,,India,2021
MF 029677,,India,2015
MF 031243,,India,2016
MF 033783,Respiratory Tract/Pulmonary Agents,India,2019
MF 035447,Respiratory Tract/Pulmonary Agents,Taiwan,2020
MF 024407,,Italy,2010
MF 033128,,India,2018
MF 035275,,India,2020
MF 036332,,Spain,2021
MF 024422,Analgesics,India,2010
MF 027182,,France,2013
MF 029004,,India,2015
MF 029654,Antineoplastics,India,2015
MF 020338,Antineoplastics,Germany,2007
MF 031564,Electrolytes/Minerals/Metals/Vitamins,United States,2017
MF 029306,Electrolytes/Minerals/Metals/Vitamins,China,2015
MF 023662,,India,2010
MF 030589,,India,2016
MF 033559,Antidepressants,India,2019
MF 024912,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",France,2012
MF 027434,,China,2013
MF 035312,Antiparkinson Agents,India,2020
MF 018981,Dermatological Agents,Spain,2005
MF 026215,,India,2013
MF 022585,,India,2009
MF 023047,,India,2009
MF 034792,Inflammatory Bowel Disease Agents,India,2020
MF 029051,Inflammatory Bowel Disease Agents,India,2015
MF 028293,Antineoplastics,India,2014
MF 031137,Antineoplastics,China,2016
MF 034809,Antineoplastics,Italy,2020
MF 028159,Antineoplastics,India,2014
MF 026174,Anticonvulsants,India,2012
MF 034107,Anticonvulsants,China,2019
MF 029476,Anticonvulsants,India,2015
MF 017538,Antibacterials,Hungary,2004
MF 022381,,India,2009
MF 026693,,India,2012
MF 033727,,India,2019
MF 029941,,India,2015
MF 031423,Ophthalmic Agents,Malaysia,2017
MF 017543,Anticonvulsants,India,2004
MF 016060,Anticonvulsants,India,2002
MF 020826,Anticonvulsants,China,2007
MF 026318,Cardiovascular Agents,India,2012
MF 033587,Cardiovascular Agents,India,2019
MF 026992,Cardiovascular Agents,India,2013
MF 023690,Cardiovascular Agents,India,2010
MF 018271,Respiratory Tract/Pulmonary Agents,China,2005
MF 018271,Central Nervous System Agents,China,2005
MF 022469,Antiemetics,India,2009
MF 034104,Anti-obesity Agents,China,2019
MF 033366,Blood Glucose Regulators,United States,2020
MF 034318,,India,2019
MF 034624,,India,2020
MF 035756,,India,2021
MF 032744,Blood Products and Modifiers,China,2018
MF 032674,,India,2018
MF 032153,,India,2017
MF 033575,Antiemetics,India,2019
MF 036112,Antiemetics,India,2021
MF 027959,Respiratory Tract/Pulmonary Agents,India,2014
MF 027959,Cardiovascular Agents,India,2014
MF 032848,Antiemetics,India,2018
MF 034241,Central Nervous System Agents,India,2019
MF 034241,Respiratory Tract/Pulmonary Agents,India,2019
MF 027836,Cardiovascular Agents,China,2013
MF 026819,Immunological Agents,Taiwan,2013
MF 023496,,France,2010
MF 024749,Ophthalmic Agents,China,2011
MF 018716,Inflammatory Bowel Disease Agents,China,2005
MF 031571,,India,2017
MF 034054,,Taiwan,2019
MF 034054,Antiemetics,Taiwan,2019
MF 030176,,India,2016
MF 032947,Electrolytes/Minerals/Metals/Vitamins,India,2018
MF 017878,Antineoplastics,China,2004
MF 036453,,United States,2021
MF 016036,,Italy,2002
MF 031080,,India,2016
MF 025362,,India,2011
MF 036127,Electrolytes/Minerals/Metals/Vitamins,India,2021
MF 029659,Genitourinary Agents,India,2015
MF 033157,,Italy,2018
MF 035414,,India,2020
MF 018705,Dermatological Agents,Italy,2005
MF 030013,,India,2015
MF 033850,,India,2019
MF 033941,,India,2019
MF 027419,Gastrointestinal Agents,India,2013
MF 035214,,India,2021
MF 015435,,United States,2001
MF 015088,,United States,2000
MF 035345,Blood Glucose Regulators,India,2020
MF 032392,Blood Glucose Regulators,India,2018
MF 015824,,Austria,2002
MF 017185,,India,2004
MF 025065,,India,2011
MF 031512,,India,2017
MF 034033,,India,2019
MF 033153,Respiratory Tract/Pulmonary Agents,Hungary,2018
MF 020659,,India,2007
MF 015385,Central Nervous System Agents,United States,2001
MF 031244,Central Nervous System Agents,United States,2017
MF 018719,,India,2005
MF 034741,,India,2020
MF 016035,Antimyasthenic Agents,Italy,2002
MF 035189,,India,2020
MF 033353,,India,2018
MF 032302,,India,2018
MF 027482,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 026013,Cardiovascular Agents,India,2012
MF 017193,Cardiovascular Agents,Hungary,2004
MF 021444,,Italy,2008
MF 032303,,India,2017
MF 019013,Cardiovascular Agents,India,2005
MF 034973,,India,2020
MF 023852,,France,2010
MF 016255,Antineoplastics,China,2002
MF 020699,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",United States,2007
MF 033615,Antineoplastics,India,2019
MF 033880,Antineoplastics,India,2019
MF 028479,Antineoplastics,Japan,2014
MF 026624,Central Nervous System Agents,India,2012
MF 027229,,China,2013
MF 031271,,India,2016
MF 034547,,India,2020
MF 018781,Cardiovascular Agents,India,2005
MF 025023,,Spain,2011
MF 034043,Cardiovascular Agents,India,2019
MF 025677,,Italy,2012
MF 030233,Blood Products and Modifiers,India,2016
MF 022130,"Hormonal Agents, Stimulant/Replacement/Modifying (Pituitary)",India,2009
MF 022130,Blood Products and Modifiers,India,2009
MF 022871,Blood Products and Modifiers,India,2009
MF 036371,Antineoplastics,India,2021
MF 034429,Antidepressants,India,2019
MF 030437,Antidepressants,India,2016
MF 036341,,India,2021
MF 026562,,India,2012
MF 016371,,India,2003
MF 017257,,India,2004
MF 034413,,India,2019
MF 033960,,India,2019
MF 033610,,India,2019
MF 022751,,India,2009
MF 033634,,India,2019
MF 026931,,China,2013
MF 034462,,India,2021
MF 028255,,United States,2014
MF 035385,Analgesics,India,2020
MF 029094,Analgesics,Germany,2015
MF 022125,,India,2009
MF 019766,,China,2006
MF 034525,,Germany,2020
MF 031648,,Japan,2017
MF 023170,Bipolar Agents,India,2009
MF 036164,Bipolar Agents,India,2021
MF 026266,Anticonvulsants,Poland,2012
MF 020414,,Germany,2007
MF 030570,,China,2016
MF 021631,Antiparkinson Agents,India,2008
MF 023163,Antiparkinson Agents,India,2009
MF 024781,Antiparkinson Agents,India,2011
MF 025594,Metabolic Bone Disease Agents,India,2012
MF 022136,Metabolic Bone Disease Agents,Taiwan,2008
MF 017732,Respiratory Tract/Pulmonary Agents,China,2004
MF 033017,,India,2018
MF 019611,,India,2006
MF 018083,,China,2004
MF 017933,,Israel,2004
MF 035541,Contraceptives,Italy,2021
MF 033787,,India,2019
MF 033926,,India,2019
MF 035213,,India,2020
MF 024424,,India,2010
MF 036108,,India,2021
MF 019308,Dermatological Agents,India,2006
MF 020893,Dermatological Agents,India,2007
MF 018483,Genitourinary Agents,Italy,2005
MF 022487,Ophthalmic Agents,China,2008
MF 022580,Anxiolytics,India,2009
MF 024714,Cardiovascular Agents,India,2011
MF 028887,,India,2015
MF 028059,,India,2014
MF 016262,,Israel,2002
MF 028651,Electrolytes/Minerals/Metals/Vitamins,India,2014
MF 032701,,China,2018
MF 035768,,India,2021
MF 023283,Respiratory Tract/Pulmonary Agents,India,2010
MF 028376,Antiemetics,India,2014
MF 020821,Dermatological Agents,India,2007
MF 021624,Dermatological Agents,China,2008
MF 021395,Antiparasitics,Macao,2008
MF 028518,Antibacterials,China,2014
MF 031521,Antimycobacterials,Italy,2017
MF 022626,Antineoplastics,United States,2009
MF 035776,,India,2021
MF 022997,,India,2009
MF 031203,"Hormonal Agents, Stimulant/Replacement/Modifying (Thyroid)",India,2017
MF 032374,Blood Products and Modifiers,India,2018
MF 030609,Blood Products and Modifiers,India,2016
MF 032827,Blood Products and Modifiers,Mexico,2018
MF 027926,Electrolytes/Minerals/Metals/Vitamins,India,2014
MF 030569,Electrolytes/Minerals/Metals/Vitamins,India,2016
MF 033001,,India,2018
MF 020546,Ophthalmic Agents,United States,2007
MF 032517,Dermatological Agents,India,2018
MF 032260,Antineoplastics,India,2018
MF 032660,Antineoplastics,India,2018
MF 028674,Blood Products and Modifiers,Poland,2014
MF 028899,Blood Products and Modifiers,India,2015
MF 022372,,India,2008
MF 036647,,India,2021
MF 020411,,India,2007
MF 023271,Antivirals,China,2009
MF 035785,,India,2021
MF 032977,,United Kingdom,2018
MF 028527,,Italy,2014
MF 023528,Antivirals,Latvia,2010
MF 023528,Antiparkinson Agents,Latvia,2010
MF 019848,Respiratory Tract/Pulmonary Agents,United States,2006
MF 019848,Analgesics,United States,2006
MF 025285,Skeletal Muscle Relaxants,United States,2015
MF 029371,Blood Products and Modifiers,United States,2015
MF 028126,Antipsychotics,India,2014
MF 027452,Bipolar Agents,India,2013
MF 028447,Antipsychotics,India,2014
MF 027970,Bipolar Agents,India,2014
MF 027970,Antipsychotics,India,2014
MF 034255,Bipolar Agents,United States,2020
MF 033872,Antipsychotics,Italy,2019
MF 033499,Antibacterials,China,2019
MF 032062,Antibacterials,Switzerland,2017
MF 036191,Antiemetics,China,2021
MF 029560,Ophthalmic Agents,Hungary,2015
MF 026877,Dermatological Agents,India,2013
MF 024906,Dermatological Agents,Republic Of Korea,2011
MF 026615,,India,2012
MF 036278,Blood Products and Modifiers,India,2021
MF 032615,Blood Products and Modifiers,India,2018
MF 031572,Blood Products and Modifiers,India,2017
MF 032240,Antiemetics,United States,2018
MF 032240,Gastrointestinal Agents,United States,2018
MF 015041,Anti-addiction/Substance Abuse Treatment Agents,Italy,2000
MF 034504,Dermatological Agents,United States,2020
MF 019035,,India,2005
MF 021200,Sleep Disorder Agents,India,2007
MF 024038,Cardiovascular Agents,China,2010
MF 026950,Antiemetics,India,2013
MF 035210,,India,2020
MF 035486,,India,2020
MF 028763,,Mexico,2014
MF 031563,,United States,2017
MF 027418,,India,2013
MF 028771,,China,2014
MF 021188,Ophthalmic Agents,United Kingdom,2007
MF 027741,Otic Agents,China,2013
MF 035576,,India,2021
MF 022998,,United States,2009
MF 014972,,Italy,2000
MF 016425,Inflammatory Bowel Disease Agents,Germany,2003
MF 029841,,India,2015
MF 026855,Antineoplastics,Italy,2013
MF 018481,,India,2005
MF 020051,Metabolic Bone Disease Agents,India,2006
MF 019290,Antibacterials,India,2006
MF 028995,Respiratory Tract/Pulmonary Agents,India,2015
MF 029740,,India,2015
MF 029740,Respiratory Tract/Pulmonary Agents,India,2015
MF 019816,Respiratory Tract/Pulmonary Agents,India,2006
MF 015521,,,2001
MF 015521,Respiratory Tract/Pulmonary Agents,,2001
MF 025637,Respiratory Tract/Pulmonary Agents,India,2011
MF 030604,Respiratory Tract/Pulmonary Agents,India,2016
MF 023431,Antivirals,India,2010
MF 026739,Antivirals,China,2013
MF 015817,,France,2002
MF 032295,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2017
MF 032295,,India,2017
MF 035071,"Hormonal Agents, Suppressant (Pituitary)",China,2020
MF 033765,,China,2019
MF 019988,Cardiovascular Agents,India,2006
MF 034162,Blood Glucose Regulators,India,2019
MF 032386,Blood Glucose Regulators,China,2018
MF 036013,Blood Glucose Regulators,India,2021
MF 031294,Blood Glucose Regulators,China,2016
MF 014802,,Italy,2000
MF 030721,Gastrointestinal Agents,India,2016
MF 029140,Gastrointestinal Agents,China,2015
MF 031652,Electrolytes/Minerals/Metals/Vitamins,Japan,2017
MF 026307,Antivirals,India,2012
MF 025549,Antivirals,Taiwan,2011
MF 023325,,United States,2009
MF 024668,,Switzerland,2011
MF 028226,,United States,2014
MF 021676,Antineoplastics,India,2008
MF 017128,Antigout Agents,India,2004
MF 029129,,India,2015
MF 036375,,India,2021
MF 021912,,India,2008
MF 018779,,Spain,2005
MF 035593,,India,2021
MF 035442,,Taiwan,2020
MF 022375,Antibacterials,India,2008
MF 015864,Antibacterials,India,2002
MF 017580,Antibacterials,Brazil,2004
MF 019511,Antibacterials,China,2006
MF 018118,Antibacterials,India,2005
MF 018892,Antibacterials,India,2005
MF 026081,,Czech Republic,2012
MF 023603,Genitourinary Agents,India,2010
MF 020595,Genitourinary Agents,Canada,2007
MF 020867,Genitourinary Agents,India,2007
MF 029806,,India,2015
MF 035033,,India,2020
MF 027901,,India,2014
MF 033198,Blood Glucose Regulators,India,2018
MF 018888,,India,2005
MF 023273,Blood Glucose Regulators,China,2009
MF 018150,Blood Glucose Regulators,India,2005
MF 018323,,India,2005
MF 027680,,Republic Of Korea,2013
MF 023482,,United States,2010
MF 031270,,China,2017
MF 028355,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Denmark,2014
MF 018155,,India,2005
MF 023500,Antibacterials,India,2010
MF 030010,Antineoplastics,India,2015
MF 026543,,India,2012
MF 031580,Antineoplastics,China,2017
MF 031979,Antineoplastics,India,2017
MF 025662,Antibacterials,India,2012
MF 025662,,India,2012
MF 015506,Antibacterials,India,2001
MF 034697,Metabolic Bone Disease Agents,India,2020
MF 030574,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2016
MF 015739,,India,2001
MF 027662,Central Nervous System Agents,India,2013
MF 018472,Analgesics,United States,2005
MF 023419,Blood Products and Modifiers,United States,2010
MF 027551,,India,2013
MF 027395,,China,2013
MF 028558,Antiparasitics,India,2014
MF 015849,Cardiovascular Agents,India,2002
MF 021187,,India,2007
MF 022854,Ophthalmic Agents,India,2009
MF 025856,Antimigraine Agents,United States,2012
MF 020213,,United States,2007
MF 020787,Blood Products and Modifiers,United States,2007
MF 020787,Antimigraine Agents,United States,2007
MF 018073,,India,2005
MF 027379,Antipsychotics,India,2013
MF 024778,Antidementia Agents,India,2011
MF 021199,Antidementia Agents,Canada,2007
MF 022112,Antidementia Agents,India,2008
MF 026721,,Germany,2014
MF 015986,Analgesics,United States,2002
MF 033399,,India,2018
MF 026643,Antidementia Agents,Austria,2012
MF 021793,Analgesics,India,2008
MF 020222,Antimigraine Agents,India,2007
MF 034415,,India,2019
MF 029002,,India,2015
MF 018453,,India,2005
MF 035617,Antibacterials,India,2021
MF 019769,Electrolytes/Minerals/Metals/Vitamins,China,2006
MF 035381,,India,2020
MF 018962,,India,2005
MF 026177,,India,2012
MF 029029,Respiratory Tract/Pulmonary Agents,India,2015
MF 032757,Respiratory Tract/Pulmonary Agents,India,2018
MF 023455,Respiratory Tract/Pulmonary Agents,Malta,2010
MF 026476,Respiratory Tract/Pulmonary Agents,China,2012
MF 032143,,India,2017
MF 035132,,India,2020
MF 028177,,India,2014
MF 027037,,India,2013
MF 036539,,China,2021
MF 018352,Dermatological Agents,Italy,2005
MF 034823,,United States,2020
MF 021963,,Netherlands,2008
MF 035174,Respiratory Tract/Pulmonary Agents,India,2020
MF 020572,Inflammatory Bowel Disease Agents,India,2007
MF 033698,Cardiovascular Agents,India,2019
MF 032868,Cardiovascular Agents,India,2018
MF 020425,,India,2007
MF 032621,Cardiovascular Agents,India,2018
MF 028309,Cardiovascular Agents,China,2014
MF 031706,Cardiovascular Agents,Mexico,2017
MF 033989,Cardiovascular Agents,India,2019
MF 024720,Cardiovascular Agents,India,2011
MF 021466,Cardiovascular Agents,China,2007
MF 031823,Cardiovascular Agents,India,2017
MF 034307,,India,2020
MF 034307,Respiratory Tract/Pulmonary Agents,India,2020
MF 034307,Gastrointestinal Agents,India,2020
MF 028784,Dental and Oral Agents,India,2014
MF 025963,Anesthetics,India,2012
MF 021054,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Spain,2007
MF 026470,Inflammatory Bowel Disease Agents,India,2012
MF 029331,Inflammatory Bowel Disease Agents,Switzerland,2017
MF 031836,Inflammatory Bowel Disease Agents,Spain,2017
MF 031836,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Spain,2017
MF 018727,Inflammatory Bowel Disease Agents,Jordan,2005
MF 035446,Inflammatory Bowel Disease Agents,China,2021
MF 023719,Antiparkinson Agents,,2010
MF 027991,,India,2014
MF 024552,,India,2011
MF 033885,Antipsychotics,India,2019
MF 036326,Antipsychotics,India,2021
MF 022222,,China,2008
MF 023839,,India,2010
MF 026070,,United States,2012
MF 014991,Dermatological Agents,Portugal,2000
MF 020171,Dermatological Agents,India,2007
MF 021993,Respiratory Tract/Pulmonary Agents,Italy,2008
MF 023916,Respiratory Tract/Pulmonary Agents,Spain,2010
MF 018977,,Italy,2005
MF 021657,Antimigraine Agents,Mexico,2008
MF 035191,Anti-obesity Agents,India,2020
MF 035191,Anticonvulsants,India,2020
MF 018700,Anti-obesity Agents,India,2005
MF 021068,Anti-obesity Agents,India,2007
MF 020386,Antimigraine Agents,India,2007
MF 036205,Ophthalmic Agents,India,2021
MF 022919,Ophthalmic Agents,India,2009
MF 019422,Ophthalmic Agents,Italy,2006
